,apartment_type,district,agency,size,floor,year_built,station_distance,cost
1698,2SLDK APARTMENT,"IN SHIBUYA
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 74.95 m²,Floor 7 / 8F,Year Built 1968,Omotesando Station (7 min. walk),"Monthly Costs ¥320,000"
1699,1K APARTMENT,"IN SENJU KOTOBUKICHO
ADACHI-KU, TOKYO","Aonissin Co.,ltd.",Size 16.44 m²,Floor 1 / 2F,Year Built 1991,Kitasenju Station (8 min. walk),"Monthly Costs ¥59,000"
1700,1K APARTMENT,"IN HIGASHI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.17 m²,Floor 4 / 8F,Year Built 2000,Shibuya Station (9 min. walk),"Monthly Costs ¥91,000"
1701,1K APARTMENT,"IN MATSUSHIMA
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 2 / 2F,Year Built 1993,Shinkoiwa Station (13 min. walk),"Monthly Costs ¥48,000"
1702,1LDK APARTMENT,"IN AKASAKA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 51.82 m²,Floor 5 / 19F,Year Built 2004,Nogizaka Station (1 min. walk),"Monthly Costs ¥275,000"
1703,1K APARTMENT,"IN UMEZATO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 21.78 m²,Floor 1 / 3F,Year Built 2019,Shin Koenji Station (3 min. walk),"Monthly Costs ¥99,550"
1704,1K APARTMENT,"IN TAKABAN
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 23.00 m²,Floor 1 / 3F,Year Built 1989,Gakugei Daigaku Station (4 min. walk),"Monthly Costs ¥80,000"
1705,1R APARTMENT,"IN KAMAKURA
KATSUSHIKA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.13 m²,Floor 3 / 3F,Year Built 2020,Keiseikoiwa Station (5 min. walk),"Monthly Costs ¥62,000"
1706,1R APARTMENT,"IN HATSUDAI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 10.28 m²,Floor 2 / 2F,Year Built 2016,Hatsudai Station (2 min. walk),"Monthly Costs ¥75,000"
1707,1R APARTMENT,"IN DAITA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.76 m²,Floor 4 / 6F,Year Built 1991,Shindaita Station (2 min. walk),"Monthly Costs ¥69,000"
1708,2LDK APARTMENT,"IN KOJIMACHI
CHIYODA-KU, TOKYO","Aonissin Co.,ltd.",Size 82.71 m²,Floor 12 / 15F,Year Built 2005,Kojimachi Station (4 min. walk),"Monthly Costs ¥420,000"
1709,1LDK APARTMENT,"IN SENDAGAYA
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 37.99 m²,Floor 1 / 7F,Year Built 2005,Harajuku Station (4 min. walk),"Monthly Costs ¥187,000"
1710,3LDK HOUSE,"IN SETAGAYA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 92.13 m²,Year Built 2000,Nearest Station Setagaya Station (7 min. walk),?,"Monthly Costs ¥260,000"
1711,1LDK APARTMENT,"IN ATAGO
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 106.64 m²,Floor 16 / 16F,Year Built 1995,Toranomon Hills Station (7 min. walk),"Monthly Costs ¥430,000"
1712,1K APARTMENT,"IN TAKINOGAWA
KITA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.74 m²,Floor 2 / 3F,Year Built 2005,Itabashi Station (8 min. walk),"Monthly Costs ¥88,050"
1713,1R APARTMENT,"IN UENO
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 30.96 m²,Floor 5 / 11F,Year Built 1983,Suehirocho Station (5 min. walk),"Monthly Costs ¥94,000"
1714,2DK APARTMENT,"IN MINAMINAGASAKI
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 34.00 m²,Floor 7 / 8F,Year Built 1972,Ochiaiminami Nagasaki Station (7 min. walk),"Monthly Costs ¥93,000"
1715,1K APARTMENT,"IN DENENCHOFU
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 28.02 m²,Floor 1 / 5F,Year Built 1997,Tamagawa Station (3 min. walk),"Monthly Costs ¥92,000"
1716,1LDK APARTMENT,"IN AKASAKA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 111.83 m²,Floor 7 / 9F,Year Built 1999,Roppongi-itchome Station (5 min. walk),"Monthly Costs ¥960,000"
1717,1K APARTMENT,"IN HIGASHISUMIDA
SUMIDA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 2 / 3F,Year Built 2009,Yahiro Station (9 min. walk),"Monthly Costs ¥71,550"
1718,1K APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.63 m²,Floor 4 / 4F,Year Built 1985,Shin Mikawashima Station (2 min. walk),"Monthly Costs ¥56,000"
1719,2LDK APARTMENT,"IN AKASAKA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 51.72 m²,Floor 4 / 8F,Year Built 1999,Akasaka Station (6 min. walk),"Monthly Costs ¥278,000"
1720,1K APARTMENT,"IN HIGASHIMUKOJIMA
SUMIDA-KU, TOKYO","Aonissin Co.,ltd.",Size 22.50 m²,Floor 7 / 12F,Year Built 2010,Higashimukoujima Station (3 min. walk),"Monthly Costs ¥77,000"
1721,1R APARTMENT,"IN MIYASAKA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.00 m²,Floor 2 / 3F,Year Built 1988,Kyoudou Station (9 min. walk),"Monthly Costs ¥65,000"
1722,1K APARTMENT,"IN TAGARA
NERIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 22.82 m²,Floor 1 / 2F,Year Built 2008,Ofuna Station (13 min. walk),"Monthly Costs ¥79,550"
1723,1DK APARTMENT,"IN ARAKICHO
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 45.00 m²,Floor 2 / 3F,Year Built 1984,Akebonobashi Station (3 min. walk),"Monthly Costs ¥115,000"
1724,1K APARTMENT,"IN KITAMI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.22 m²,Floor 1 / 3F,Year Built 1986,Kitami Station (2 min. walk),"Monthly Costs ¥58,000"
1725,2LDK APARTMENT,"IN MINAMIAOYAMA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 58.52 m²,Floor 1 / 3F,Year Built 1998,Hiroo Station (10 min. walk),"Monthly Costs ¥210,000"
1726,3LDK APARTMENT,"IN DAIBA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 94.70 m²,Floor 27 / 33F,Year Built 1996,Odaiba-kaihinkoen Station (4 min. walk),"Monthly Costs ¥270,000"
1727,1LDK APARTMENT,"IN KITAZAWA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 41.00 m²,Floor 4 / 5F,Year Built 2007,Shimokitazawa Station (5 min. walk),"Monthly Costs ¥175,000"
1728,2DK APARTMENT,"IN SANNO
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 44.75 m²,Floor 3 / 5F,Year Built 1986,Omori Station (2 min. walk),"Monthly Costs ¥130,000"
1729,1K APARTMENT,"IN HIGASHISUMIDA
SUMIDA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 3 / 3F,Year Built 2009,Yahiro Station (14 min. walk),"Monthly Costs ¥69,550"
1730,1K APARTMENT,"IN SHIBA(1-3-CHOME)
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 21.58 m²,Floor 10 / 13F,Year Built 2002,Shibakouen Station (7 min. walk),"Monthly Costs ¥93,000"
1731,1K APARTMENT,"IN NISHISHINJUKU
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 32.23 m²,Floor 2 / 3F,Year Built 1988,Nishishinjuku Go Choume Station (7 min. walk),"Monthly Costs ¥98,000"
1732,1R APARTMENT,"IN YOYOGI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 25.00 m²,Floor 4 / 8F,Year Built 1976,Minami Shinjuku Station (8 min. walk),"Monthly Costs ¥95,000"
1733,2LDK APARTMENT,"IN OJIMA
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 56.70 m²,Floor 6 / 11F,Year Built 1990,Nishiojima Station (3 min. walk),"Monthly Costs ¥145,000"
1734,1K APARTMENT,"IN TONERI
ADACHI-KU, TOKYO","Aonissin Co.,ltd.",Size 22.35 m²,Floor 1 / 2F,Year Built 2007,Toneri Station (5 min. walk),"Monthly Costs ¥61,550"
1735,1K APARTMENT,"IN AKATSUKASHIMMACHI
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 27.42 m²,Floor 2 / 2F,Year Built 2017,Chikatetsu Narimasu Station (11 min. walk),"Monthly Costs ¥79,550"
1736,1K APARTMENT,"IN NISHIWASEDA(SONOTA)
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 19.39 m²,Floor 2 / 3F,Year Built 2004,Waseda Station (7 min. walk),"Monthly Costs ¥78,000"
1737,1R APARTMENT,"IN AZABUMAMIANACHO
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 22.91 m²,Floor 2 / 3F,Year Built 1981,Azabu-juban Station (7 min. walk),"Monthly Costs ¥90,000"
1738,2K APARTMENT,"IN KAMISHINOZAKI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 38.00 m²,Floor 4 / 8F,Year Built 1998,Shinozaki Station (6 min. walk),"Monthly Costs ¥84,000"
1739,1K APARTMENT,"IN MITA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 1 / 2F,Year Built 2003,Azabu-juban Station (2 min. walk),"Monthly Costs ¥99,550"
1740,1K APARTMENT,"IN MAENOCHO
ITABASHI-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 3 / 3F,Year Built 2009,Tokiwadai Station (12 min. walk),"Monthly Costs ¥66,550"
1741,1K APARTMENT,"IN KAMIOCHIAI
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 17.00 m²,Floor 3 / 3F,Year Built 1988,Ochiai Station (4 min. walk),"Monthly Costs ¥73,000"
1742,1K APARTMENT,"IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 17.50 m²,Floor 1 / 3F,Year Built 1981,Sakurajousui Station (1 min. walk),"Monthly Costs ¥55,000"
1743,1R APARTMENT,"IN TAMAGAWA
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 15.93 m²,Floor 2 / 3F,Year Built 2013,Yaguchinowatashi Station (2 min. walk),"Monthly Costs ¥59,000"
1744,1LDK APARTMENT,"IN SUGACHO
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 59.12 m²,Floor 3 / 4F,Year Built 2005,Yotsuya San Choume Station (5 min. walk),"Monthly Costs ¥235,000"
1745,1K APARTMENT,"IN TAITO
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 29.00 m²,Floor 2 / 2F,Year Built 1969,Nakaokachimachi Station (3 min. walk),"Monthly Costs ¥69,000"
1746,1R APARTMENT,"IN KOENJIKITA
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 18.00 m²,Floor 2 / 3F,Year Built 1993,Koenji Station (6 min. walk),"Monthly Costs ¥70,000"
1747,1LDK APARTMENT,"IN SHIMOMEGURO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 48.85 m²,Floor 5 / 7F,Year Built 1994,Meguro Station (9 min. walk),"Monthly Costs ¥182,000"
1748,2LDK APARTMENT,"IN NEGISHI
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 57.61 m²,Floor 1 / 3F,Year Built 2000,Uguisudani Station (5 min. walk),"Monthly Costs ¥154,000"
1749,2DK APARTMENT,"IN NEGISHI
TAITO-KU, TOKYO","Aonissin Co.,ltd.",Size 38.84 m²,Floor 4 / 9F,Year Built 1988,Iriya Station (4 min. walk),"Monthly Costs ¥120,000"
1750,1K APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 25.46 m²,Floor 5 / 8F,Year Built 2007,Minowabashi Station (8 min. walk),"Monthly Costs ¥78,000"
1751,2LDK APARTMENT,"IN SHIMOMEGURO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 53.94 m²,Floor 1 / 5F,Year Built 2021,Fudoumae Station (6 min. walk),"Monthly Costs ¥180,000"
1752,1K APARTMENT,"IN NAKANO
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 19.00 m²,Floor 2 / 2F,Year Built 1988,Higashinakano Station (8 min. walk),"Monthly Costs ¥62,000"
1753,2K APARTMENT,"IN TOYOTAMAMINAMI
NERIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 36.87 m²,Floor 2 / 4F,Year Built 1996,Nerima Station (12 min. walk),"Monthly Costs ¥104,000"
1754,1K APARTMENT,"IN HIGASHIOGU
ARAKAWA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 3 / 3F,Year Built 2009,Higashiogu San Choume Station (7 min. walk),"Monthly Costs ¥76,550"
1755,2LDK APARTMENT,"IN NISHIOIZUMI
NERIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 52.00 m²,Floor 1 / 2F,Year Built 1989,Houya Station (10 min. walk),"Monthly Costs ¥88,000"
1756,3DK APARTMENT,"IN KAMIIGUSA
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 57.25 m²,Floor 1 / 3F,Year Built 1986,Iogi Station (4 min. walk),"Monthly Costs ¥135,000"
1757,1K APARTMENT,"IN YAGUCHI
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.81 m²,Floor 1 / 3F,Year Built 2010,Musashi-Nitta Station (10 min. walk),"Monthly Costs ¥89,550"
1758,1K APARTMENT,"IN KAMIOSAKI
SHINAGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.87 m²,Floor 1 / 3F,Year Built 2009,Oi Keibajoumae Station (14 min. walk),"Monthly Costs ¥99,550"
1759,1K APARTMENT,"IN MEGUROHONCHO
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 26.50 m²,Floor 3 / 5F,Year Built 1987,Musashi Koyama Station (9 min. walk),"Monthly Costs ¥87,000"
1760,2DK APARTMENT,"IN KOMAGOME
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 46.50 m²,Floor 1 / 2F,Year Built 1980,Komagome Station (7 min. walk),"Monthly Costs ¥80,000"
1761,1R APARTMENT,"IN KANDAJIMBOCHO
CHIYODA-KU, TOKYO","Aonissin Co.,ltd.",Size 15.03 m²,Floor 3 / 8F,Year Built 1978,Kudanshita Station (3 min. walk),"Monthly Costs ¥71,000"
1762,1K APARTMENT,"IN NAKAMAGOME
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.76 m²,Floor 1 / 3F,Year Built 1988,Magome Station (5 min. walk),"Monthly Costs ¥72,000"
1763,1K APARTMENT,"IN IKEGAMI
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 16.00 m²,Floor 2 / 4F,Year Built 1987,Hasunuma Station (8 min. walk),"Monthly Costs ¥57,000"
1764,1K APARTMENT,"IN NOGE
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.00 m²,Floor 1 / 2F,Year Built 1985,Kaminoge Station (22 min. walk),"Monthly Costs ¥50,000"
1765,2DK APARTMENT,"IN UMEZATO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 42.52 m²,Floor 4 / 8F,Year Built 1970,Shin Koenji Station (7 min. walk),"Monthly Costs ¥110,000"
1766,1K APARTMENT,"IN OMORIHONCHO
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 17.35 m²,Floor 2 / 6F,Year Built 1988,Heiwajima Station (8 min. walk),"Monthly Costs ¥57,000"
1767,1K APARTMENT,"IN HONKOMAGOME
BUNKYO-KU, TOKYO",Sumaino Seika,Size 20.23 m²,Floor 1 / 4F,Year Built 2008,Komagome Station (10 min. walk),"Monthly Costs ¥88,050"
1768,3LDK APARTMENT,"IN AKASAKA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 156.10 m²,Floor 2 / 5F,Year Built 1982,Tameike-sanno Station (2 min. walk),"Monthly Costs ¥585,000"
1769,2DK APARTMENT,"IN MINAMIKARASUYAMA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 35.64 m²,Floor 1 / 4F,Year Built 1989,Chitose Karasuyama Station (4 min. walk),"Monthly Costs ¥93,000"
1770,1R APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 12.89 m²,Floor 3 / 3F,Year Built 2017,Shou Murai Station (10 min. walk),"Monthly Costs ¥61,000"
1771,3LDK APARTMENT,"IN KITAKARASUYAMA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 70.12 m²,Floor 2 / 3F,Year Built 1998,Roka Koen Station (7 min. walk),"Monthly Costs ¥190,000"
1772,1K APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 17.13 m²,Floor 2 / 3F,Year Built 2016,Kameidosuijin Station (8 min. walk),"Monthly Costs ¥74,000"
1773,3DK APARTMENT,"IN HIGASHIYOTSUGI
KATSUSHIKA-KU, TOKYO","Aonissin Co.,ltd.",Size 52.80 m²,Floor 1 / 5F,Year Built 1989,Yotsugi Station (6 min. walk),"Monthly Costs ¥109,000"
1774,1DK APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 25.50 m²,Floor 4 / 5F,Year Built 1991,Uguisudani Station (9 min. walk),"Monthly Costs ¥75,000"
1775,1R APARTMENT,"IN OTSUKA
BUNKYO-KU, TOKYO","Aonissin Co.,ltd.",Size 16.50 m²,Floor 3 / 10F,Year Built 1986,Myōgadani Station (6 min. walk),"Monthly Costs ¥60,000"
1776,1R APARTMENT,"IN NISHISHINJUKU
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 15.12 m²,Floor 5 / 11F,Year Built 1980,Tochomae Station (7 min. walk),"Monthly Costs ¥68,000"
1777,1K APARTMENT,"IN MOMOI
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 20.28 m²,Floor 2 / 2F,Year Built 2011,Nishi Ogikubo Station (18 min. walk),"Monthly Costs ¥72,550"
1778,3LDK APARTMENT,"IN KYOJIMA
SUMIDA-KU, TOKYO","Aonissin Co.,ltd.",Size 62.93 m²,Floor 3 / 4F,Year Built 1988,Hikifune Station (7 min. walk),"Monthly Costs ¥136,000"
1779,1R APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 17.50 m²,Floor 3 / 6F,Year Built 1988,Kameido Station (4 min. walk),"Monthly Costs ¥68,000"
1780,1K APARTMENT,"IN TODOROKI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 17.02 m²,Floor 1 / 2F,Year Built 1988,Yushima Station (5 min. walk),"Monthly Costs ¥67,050"
1781,1R APARTMENT,"IN NAKAKASAI
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 24.30 m²,Floor 3 / 11F,Year Built 1976,Kasai Station (8 min. walk),"Monthly Costs ¥64,000"
1782,1R APARTMENT,"IN NOGATA
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 10.60 m²,Floor 1 / 2F,Year Built 2018,Nogata Station (3 min. walk),"Monthly Costs ¥55,000"
1783,1K APARTMENT,"IN ASAGAYAMINAMI
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 30.00 m²,Floor 2 / 3F,Year Built 2004,Asagaya Station (1 min. walk),"Monthly Costs ¥112,000"
1784,1K APARTMENT,"IN CHUO
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 21.11 m²,Floor 1 / 4F,Year Built 2019,Kamata Station (15 min. walk),"Monthly Costs ¥85,550"
1785,1K APARTMENT,"IN MINAMIOGIKUBO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 20.25 m²,Floor 5 / 5F,Year Built 2005,Ogikubo Station (9 min. walk),"Monthly Costs ¥83,000"
1786,1K APARTMENT,"IN ASAGAYAKITA
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 19.08 m²,Floor 1 / 2F,Year Built 1983,Asagaya Station (6 min. walk),"Monthly Costs ¥55,000"
1787,1R APARTMENT,"IN SHIBAURA(2-4-CHOME)
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 16.50 m²,Floor 2 / 13F,Year Built 1980,Tamachi Station (8 min. walk),"Monthly Costs ¥69,000"
1788,1R APARTMENT,"IN EBISU
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 22.30 m²,Floor 3 / 4F,Year Built 1970,Ebisu Station (9 min. walk),"Monthly Costs ¥80,000"
1789,1K APARTMENT,"IN NISHIWASEDA(SONOTA)
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 18.09 m²,Floor 3 / 11F,Year Built 1992,Omokagebashi Station (8 min. walk),"Monthly Costs ¥74,000"
1790,1LDK APARTMENT,"IN NISHIAZABU
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 58.70 m²,Floor 2 / 8F,Year Built 2016,Roppongi Station (7 min. walk),"Monthly Costs ¥263,000"
1791,2DK APARTMENT,"IN SETA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 39.51 m²,Floor 1 / 3F,Year Built 1990,Youga Station (9 min. walk),"Monthly Costs ¥128,000"
1792,2DK APARTMENT,"IN MORISHITA
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 41.00 m²,Floor 4 / 5F,Year Built 1979,Morishita Station (5 min. walk),"Monthly Costs ¥93,500"
1793,1K APARTMENT,"IN NISHIGAHARA
KITA-KU, TOKYO","Aonissin Co.,ltd.",Size 26.96 m²,Floor 2 / 2F,Year Built 2019,Takinogawa Ichi Choume Station (3 min. walk),"Monthly Costs ¥102,550"
1794,1K APARTMENT,"IN EGOTA
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 21.18 m²,Floor 4 / 4F,Year Built 1994,Numabukuro Station (8 min. walk),"Monthly Costs ¥63,500"
1795,1R APARTMENT,"IN KAMATA
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 29.57 m²,Floor 4 / 5F,Year Built 1967,Kamata Station (4 min. walk),"Monthly Costs ¥85,000"
1796,1R APARTMENT,"IN OJIMA
KOTO-KU, TOKYO","Aonissin Co.,ltd.",Size 30.80 m²,Floor 3 / 8F,Year Built 1995,Nishiojima Station (11 min. walk),"Monthly Costs ¥77,000"
1797,1K APARTMENT,"IN MITA
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 32.56 m²,Floor 1 / 2F,Year Built 2003,Azabu-juban Station (3 min. walk),"Monthly Costs ¥149,050"
1798,1R APARTMENT,"IN UMEZATO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 16.00 m²,Floor 4 / 4F,Year Built 1984,Higashi Koenji Station (5 min. walk),"Monthly Costs ¥60,000"
1799,2DK APARTMENT,"IN NISHIWASEDA(SONOTA)
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 42.74 m²,Floor 1 / 7F,Year Built 1970,Takadanobaba Station (7 min. walk),"Monthly Costs ¥107,000"
1800,1K APARTMENT,"IN WASEDAMACHI
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 16.50 m²,Floor 1 / 4F,Year Built 1986,Waseda Station (4 min. walk),"Monthly Costs ¥62,000"
1801,1R APARTMENT,"IN EBISU
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 13.19 m²,Floor 4 / 4F,Year Built 1984,Ebisu Station (5 min. walk),"Monthly Costs ¥65,000"
1802,2LDK APARTMENT,"IN ATAGO
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 94.14 m²,Floor 27 / 42F,Year Built 2001,Onarimon Station (4 min. walk),"Monthly Costs ¥760,000"
1803,1K APARTMENT,"IN ZOSHIGAYA
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.16 m²,Floor 1 / 2F,Year Built 1992,Higashiikebukuro Yon Choume Station (6 min. walk),"Monthly Costs ¥57,000"
1804,1K APARTMENT,"IN KAMIOSAKI
SHINAGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 40.28 m²,Floor 4 / 11F,Year Built 2000,Meguro Station (3 min. walk),"Monthly Costs ¥159,500"
1805,1R APARTMENT,"IN NAGASAKI
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 14.87 m²,Floor 2 / 3F,Year Built 1984,Higashi Nagasaki Station (5 min. walk),"Monthly Costs ¥52,000"
1806,1K APARTMENT,"IN OMORIHIGASHI
OTA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.27 m²,Floor 5 / 10F,Year Built 1991,Heiwajima Station (3 min. walk),"Monthly Costs ¥61,000"
1807,1K APARTMENT,"IN KAMIUMA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.09 m²,Floor 2 / 3F,Year Built 1996,Komazawa-daigaku Station (9 min. walk),"Monthly Costs ¥80,000"
1808,2LDK APARTMENT,"IN KAKINOKIZAKA
MEGURO-KU, TOKYO","Aonissin Co.,ltd.",Size 72.69 m²,Floor 1 / 2F,Year Built 1994,Toritsu-daigaku Station (6 min. walk),"Monthly Costs ¥230,000"
1809,1K APARTMENT,"IN ARAI
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 20.81 m²,Floor 3 / 3F,Year Built 2009,Araiyakushimae Station (10 min. walk),"Monthly Costs ¥83,000"
1810,1R APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.92 m²,Floor 2 / 4F,Year Built 1992,Nishishinjuku Go Choume Station (8 min. walk),"Monthly Costs ¥69,000"
1811,1LDK APARTMENT,"IN NERIMA
NERIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 42.40 m²,Floor 8 / 8F,Year Built 2012,Toshimaen Station (2 min. walk),"Monthly Costs ¥135,000"
1812,1R APARTMENT,"IN KAMIOCHIAI
SHINJUKU-KU, TOKYO","Aonissin Co.,ltd.",Size 17.28 m²,Floor 4 / 4F,Year Built 1996,Ochiai Station (3 min. walk),"Monthly Costs ¥66,000"
1813,1K APARTMENT,"IN AOTO
KATSUSHIKA-KU, TOKYO","Aonissin Co.,ltd.",Size 21.94 m²,Floor 1 / 2F,Year Built 2002,Aoto Station (13 min. walk),"Monthly Costs ¥60,550"
1814,1R APARTMENT,"IN SUGAMO
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.60 m²,Floor 2 / 7F,Year Built 1990,Shin Koushinzuka Station (6 min. walk),"Monthly Costs ¥64,000"
1815,1R APARTMENT,"IN YOGA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 16.00 m²,Floor 2 / 2F,Year Built 1990,Youga Station (28 min. walk),"Monthly Costs ¥53,000"
1816,3LDK APARTMENT,"IN NISHIAZABU
MINATO-KU, TOKYO","Aonissin Co.,ltd.",Size 131.85 m²,Floor 14 / 14F,Year Built 2004,Roppongi Station (10 min. walk),"Monthly Costs ¥850,000"
1817,1K APARTMENT,"IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 16.20 m²,Floor 10 / 12F,Year Built 1987,Uchisaiwaichou Station (2 min. walk),"Monthly Costs ¥60,000"
